doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
NCT06088043,clinicaltrials,"A Phase 3, Randomized, Multicenter, Double-Blind, Placebo- and Active Comparator-Controlled Study to Evaluate the Efficacy, Safety, and Tolerability of TAK-279 in Subjects With Moderate-to-Severe Plaque Psoriasis",https://clinicaltrials.gov/study/NCT06088043,apremilast,open,,1,si
NCT06108544,clinicaltrials,"A Phase 3, Randomized, Multicenter, Double-Blind, Placebo- and Active Comparator-Controlled Study With a Randomized Withdrawal and Retreatment Period to Evaluate the Efficacy, Safety, and Tolerability of TAK-279 in Subjects With Moderate-to-Severe Plaque Psoriasis",https://clinicaltrials.gov/study/NCT06108544,apremilast,open,,1,si
NCT06122649,clinicaltrials,"A Phase 3b, Multicenter, Randomized, Double-blind, Placebo-controlled, Efficacy and Safety Study of Apremilast 30 mg Twice Daily in Chinese Subjects With Moderate to Severe Plaque-type Psoriasis",https://clinicaltrials.gov/study/NCT06122649,apremilast,open,,1,si
NCT06172426,clinicaltrials,Incidence of Psoriatic Arthritis Among Psoriasis Patients Newly Initiated With Secukinumab in a US Claims Database and a UK Registry,https://clinicaltrials.gov/study/NCT06172426,apremilast; secukinumab,open,,1,si
NCT06247319,clinicaltrials,"A Non-interventional, Prospective Study to Evaluate the Effectiveness of Risankizumab in Patients With Recent Diagnosis of Moderate Plaque Psoriasis in a Real Life Setting in Greece- the REDEFINE Study",https://clinicaltrials.gov/study/NCT06247319,apremilast,open,,4,si
NCT06374979,clinicaltrials,Efficacy and Safety of Ixekizumab in Patients with Refractory Guttate Psoriasis,https://clinicaltrials.gov/study/NCT06374979,ixekizumab,open,,1,si
NCT06398106,clinicaltrials,"Proactive Therapeutic Drug Monitoring Versus Routine Care With the Novel Biologics in Psoriasis : a Pragmatic, Multicentric, Randomised, Controlled Study",https://clinicaltrials.gov/study/NCT06398106,ixekizumab; secukinumab,open,,4,si
NCT06399432,clinicaltrials,Mediterranean Diet vs no Dietary Intervention for Improving Signs and Symptoms of Psoriasis in Patients Treated With Anti-IL-17 or Anti-IL-23 Inhibitors,https://clinicaltrials.gov/study/NCT06399432,secukinumab,open,,2,si
NCT06408454,clinicaltrials,"Determination of IL-17, Bcl-3, AND IκBζ Expression Levels in the Gingival Crevicular Fluid of Psoriasis Patients",https://clinicaltrials.gov/study/NCT06408454,plaque_psoriasis,open,,1,si
NCT06588283,clinicaltrials,"Efficacy and Safety of Ixekizumab or Ixekizumab Concomitantly Administered With Tirzepatide in Adult Participants With Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight: A Phase 3b, Randomized, Multicenter, Open-Label Study (TOGETHER-PsO)",https://clinicaltrials.gov/study/NCT06588283,ixekizumab,open,,2,si
NCT06588296,clinicaltrials,"Efficacy and Safety of Ixekizumab or Ixekizumab Concomitantly Administered With Tirzepatide in Adult Participants With Active Psoriatic Arthritis and Obesity or Overweight: A Phase 3b, Randomized, Multicenter, Open-Label Study (TOGETHER-PsA)",https://clinicaltrials.gov/study/NCT06588296,ixekizumab,open,,2,si
NCT06600009,clinicaltrials,Treatment Persistence of Biologics in Patients with PsA in Japan; Retrospective Cohort Study Using a Claims Database (The FLYWAY Study),https://clinicaltrials.gov/study/NCT06600009,secukinumab,open,,2,si
NCT06642207,clinicaltrials,Effect of IL17 Inhibitor in Comparison With Anti-TNF- α on Platelet Count and Its Association With Disease Activity in Patients With Ankylosing Spondylitis,https://clinicaltrials.gov/study/NCT06642207,plaque_psoriasis,open,,4,si
NCT06715254,clinicaltrials,"TuBerculosis Incidence in AS, PsA or Pso Patients Treated With Secukinumab: Real World Evidence in Brazilian Environment (ToBeReal)",https://clinicaltrials.gov/study/NCT06715254,secukinumab,open,,2,no
NCT06786936,clinicaltrials,Evaluating the Role of IL-17 as an Orchestrator of Peripheral-central Cross Talk in Depressive Symptoms,https://clinicaltrials.gov/study/NCT06786936,ixekizumab,open,,2,si
