doc_id,source,title,url,drugs,access,doi,n_chunks,en_bronze
38751498,pubmed,Evidence in Focus: The Sparse Landscape of Randomized Trials on Retinoblastoma Treatment.,https://pubmed.ncbi.nlm.nih.gov/38751498/,etoposide; vincristine,open,10.1159/000536410,3,si
39078961,pubmed,Electroretinographic changes in the inner and outer retinal layers before and after intravenous chemotherapy for retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/39078961/,vincristine,open,10.4103/IJO.IJO_2722_23,3,si
39432296,pubmed,Three vs 6 Cycles of Chemotherapy for High-Risk Retinoblastoma: A Randomized Clinical Trial.,https://pubmed.ncbi.nlm.nih.gov/39432296/,etoposide; vincristine,open,10.1001/jama.2024.19981,4,si
39474015,pubmed,An Unexpected Response of Orbital Retinoblastoma to Inconsistent Systemic Chemotherapy Alone.,https://pubmed.ncbi.nlm.nih.gov/39474015/,etoposide; vincristine,open,10.1159/000541776,2,si
39895987,pubmed,"Case Report: Successful treatment of metastatic retinoblastoma with CNS involvement with anti-GD2 immunotherapy, intrathecal topotecan and reduced systemic chemotherapy.",https://pubmed.ncbi.nlm.nih.gov/39895987/,topotecan,open,10.3389/fped.2024.1509645,2,si
39908010,pubmed,"A Phase II Study of Abemaciclib for Patients with Retinoblastoma-Positive, Metastatic Triple-Negative Breast Cancer.",https://pubmed.ncbi.nlm.nih.gov/39908010/,retinoblastoma,open,10.1158/1078-0432.CCR-24-2647,4,si
39955086,pubmed,Effect of intra-arterial chemotherapy drug regimens on globe salvage outcomes of retinoblastoma patients.,https://pubmed.ncbi.nlm.nih.gov/39955086/,melphalan; topotecan,open,10.1136/bjo-2024-326452,3,si
39971005,pubmed,"Intra-arterial Chemotherapy for Retinoblastoma, Outcomes Analysis in 357 Eyes: Thirteen Years of Experience in a Referral Center in Brazil.",https://pubmed.ncbi.nlm.nih.gov/39971005/,carboplatin; melphalan; topotecan,abstract_only,10.1016/j.oret.2025.02.013,4,si
40120678,pubmed,Ophthalmic Artery Chemosurgery for Retinoblastoma Babies Less than 3 Months Old or under 6-kg Weight.,https://pubmed.ncbi.nlm.nih.gov/40120678/,carboplatin; melphalan; topotecan,open,10.1016/j.oret.2025.03.008,5,si
40135409,pubmed,Comparison of single- versus multi-drug treatment for intra-arterial chemotherapy (IAC) in children with retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/40135409/,carboplatin; melphalan; topotecan,open,10.1177/15910199251324028,3,si
40138547,pubmed,Changes of Cytokines in Aqueous Humor of Retinoblastoma with Intravitreal Melphalan.,https://pubmed.ncbi.nlm.nih.gov/40138547/,melphalan,abstract_only,10.1097/IAE.0000000000004471,3,si
40332990,pubmed,Onset and Resolution of Ocular Motor Cranial Nerve Palsies Following the Use of Intra-Arterial Chemotherapy for Retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/40332990/,melphalan,abstract_only,10.1080/08820538.2025.2501796,3,si
40342827,pubmed,Case Report: Proteomic analysis of cerebrospinal fluid in a retinoblastoma patient.,https://pubmed.ncbi.nlm.nih.gov/40342827/,topotecan,open,10.3389/fonc.2025.1511594,3,si
40356530,pubmed,Enzyme-sensitive peptide KC26 modifies milk exosomes encapsulating carboplatin for the treatment of retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/40356530/,carboplatin,abstract_only,10.1080/10837450.2025.2505005,2,si
40408794,pubmed,CaV3.3 T-type calcium channels contribute to carboplatin resistance in retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/40408794/,carboplatin,open,10.1016/j.jbc.2025.108535,1,si
40434466,pubmed,"Do's and Don'ts"" for intraarterial chemotherapy for retinoblastoma- What ophthalmologist and interventional radiologist need to know?",https://pubmed.ncbi.nlm.nih.gov/40434466/,carboplatin; melphalan; topotecan,open,10.4103/IJO.IJO_2912_24,1,si
40455648,pubmed,Denticleless homolog-mediated ubiquitin-proteasome degradation of forkhead box O1 contributes to development of carboplatin resistance in retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/40455648/,carboplatin,abstract_only,10.1097/CAD.0000000000001738,4,si
40484284,pubmed,Intravitreal injection of cell membrane-coated nanoparticles for retinoblastoma treatment.,https://pubmed.ncbi.nlm.nih.gov/40484284/,etoposide,abstract_only,10.1016/j.jconrel.2025.113939,2,si
40524702,pubmed,"Retinoblastoma in a Young Nigerian Girl: A Case Report From ECWA Eye Hospital, Kano.",https://pubmed.ncbi.nlm.nih.gov/40524702/,carboplatin; etoposide; vincristine,open,10.1155/crop/1733830,3,si
40563605,pubmed,Intra-Arterial Melphalan Chemotherapy for Retinoblastoma in a Developing Nation: Real-World Outcomes and Prognostic Factors.,https://pubmed.ncbi.nlm.nih.gov/40563605/,melphalan,open,10.3390/cancers17121955,6,si
40591380,pubmed,[Effectiveness of transpupillary thermotherapy in addition to combination chemotherapy for retinoblastoma].,https://pubmed.ncbi.nlm.nih.gov/40591380/,retinoblastoma,abstract_only,10.17116/oftalma202514103113,3,si
40632084,pubmed,Electrically Driven Chimeric Extracellular Vesicles Crossing the Fundus Barrier for Retinoblastoma Treatment.,https://pubmed.ncbi.nlm.nih.gov/40632084/,retinoblastoma,abstract_only,10.1021/acsnano.5c08390,3,si
40633016,pubmed,HIGH-DOSE INTRAVITREAL TOPOTECAN (100 μ G/0.1 CC) AS MONOTHERAPY FOR RECURRENT/REFRACTORY INTRAOCULAR RETINOBLASTOMA IN SEVEN EYES.,https://pubmed.ncbi.nlm.nih.gov/40633016/,topotecan,open,10.1097/IAE.0000000000004601,3,si
40682276,pubmed,Carboplatin-Induced Ototoxicity in Children Treated for Retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/40682276/,carboplatin; etoposide; vincristine,abstract_only,10.1002/pbc.31934,3,si
40696007,pubmed,PNMA1 mediates melphalam chemoresistance in retinoblastoma via promoting DNA repair.,https://pubmed.ncbi.nlm.nih.gov/40696007/,melphalan,open,10.1038/s41598-025-12206-0,2,si
40700305,pubmed,Globe Volume Asymmetry After Intra-arterial Chemotherapy for Retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/40700305/,melphalan,abstract_only,10.3928/01913913-20250520-01,1,si
40703817,pubmed,Intraocular Pressure Changes following Intravitreal Topotecan 90 μg/0.18 cc for the Treatment of Retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/40703817/,topotecan,open,10.1159/000546729,3,si
40731848,pubmed,Update on Retinoblastoma Therapies.,https://pubmed.ncbi.nlm.nih.gov/40731848/,retinoblastoma,open,10.3390/medicina61071219,3,si
40771366,pubmed,Late-Onset Bilateral Retinoblastoma in Adolescence with Successful Globe Salvage.,https://pubmed.ncbi.nlm.nih.gov/40771366/,topotecan,open,10.1159/000546983,2,si
40818557,pubmed,Invisible warriors: the invisible arsenal of nanotechnology against retinoblastoma.,https://pubmed.ncbi.nlm.nih.gov/40818557/,carboplatin; etoposide; melphalan; topotecan; vincristine,abstract_only,10.1016/j.ijpharm.2025.126074,3,si
40819690,pubmed,"Intraocular seeds in retinoblastoma: A review of classification, management, and outcomes.",https://pubmed.ncbi.nlm.nih.gov/40819690/,melphalan; topotecan,abstract_only,10.1016/j.survophthal.2025.08.008,2,si
